"species","dust_late","dust_N_late","dust_N_early","dust_early","gd_early","gd_late","d_dust","d_gd","cluster_size","newsite","site","site_spp","dcluster_size","sim_sum","nspecies"
"MYLU",1,46,50,0.06,0.076923077,0.916666667,1,0.909722222,8.84705882463529,"MI_BC","MI_BC","MI_BC_MYLU",0.795454546381198,0.192327365752941,"Myotis lucifugus"
"MYSE",1,21,24,0.166666667,0.076923077,1,1,1,2.32941176703529,"MI_BC","MI_BC","MI_BC_MYSE",0.875000001039063,0.122600619317647,"Myotis septentrionalis"
"MYLU",0.994680851,564,274,0.018248175,0,0.928571429,0.994581982,0.928571429,102.454692556084,"MI_GA","MI_GA","MI_GA_MYLU",0.804642167236254,0.180060971100324,"Myotis lucifugus"
"MYSE",0.947368421,38,40,0.125,0,0.6875,0.939849624,0.6875,0.550161812679612,"MI_GA","MI_GA","MI_GA_MYSE",0.076923077,0.0141067131456311,"Myotis septentrionalis"
"MYLU",1,116,129,0.023255814,0.076923077,1,1,1,34.7430555601181,"MI_MC","MI_MC","MI_MC_MYLU",0.860759493254447,0.307460668673611,"Myotis lucifugus"
"MYSE",1,16,23,0.173913043,0.076923077,0.909090909,1,0.901515152,1.11111111111111,"MI_MC","MI_MC","MI_MC_MYSE",0.0666666666666667,0.0694444444444444,"Myotis septentrionalis"
"MYLU",0.785714286,14,11,0.363636364,0,0.555555556,0.663265306,0.555555556,0.767441860116279,"WI_SP","WI_SP","WI_SP_MYLU",0.133333333,0.0511627906744186,"Myotis lucifugus"
"PESU",0.285714286,21,20,0.15,0,0.185185185,0.159663866,0.185185185,0,"WI_SP","WI_SP","WI_SP_PESU",0,0,"Perimyotis subflavus"
"MYLU",0.780748663,187,12,0.333333333,0,0.55,0.671122995,0.55,34.3456221227926,"WI_SJ","WI_SJ","WI_SJ_MYLU",0.59545454610186,0.142512954866359,"Myotis lucifugus"
"PESU",0.25,8,14,0.214285714,0,0,0.045454546,0,0,"WI_SJ","WI_SJ","WI_SJ_PESU",0,0,"Perimyotis subflavus"
"PESU",0.555555556,18,11,0.363636364,0,0.818181818,0.301587301,0.818181818,0.315789471473684,"WI_ST","WI_ST","WI_ST_PESU",0.117647058,0.0185758512631579,"Perimyotis subflavus"
"PESU",0.545454545,11,10,0.4,0,0.105263158,0.242424242,0.105263158,0.5625000005625,"WI_SB","WI_SB","WI_SB_PESU",0.428571429,0.0803571429375,"Perimyotis subflavus"
"MYLU",0.971264368,174,200,0.015,0.3,0.95,0.970826769,0.928571429,14.6166666607833,"MI_TM","MI_TM","MI_TM_MYLU",0.315476190610261,0.0849806201208333,"Myotis lucifugus"
"MYSE",0.772727273,66,83,0.048192771,0.05,1,0.761219793,1,0.67916666235,"MI_TM","MI_TM","MI_TM_MYSE",0.015151515,0.010290403975,"Myotis septentrionalis"
